   3.26923169E-02  0.499999970    
   6.53846338E-02  0.999999940    
   9.80769545E-02   1.49999988    
  0.130769268       1.99999988    
  0.163461581       2.49999976    
  0.196153909       3.00068712    
  0.228846222       3.50206637    
  0.261538535       4.00414181    
  0.294230849       4.50691748    
  0.326923162       5.01039791    
  0.359615475       5.51458740    
  0.392307818       6.01949024    
  0.425000131       6.52511072    
  0.457692444       7.03145313    
  0.490384758       7.53852177    
  0.523077071       8.04632092    
  0.555769384       8.55485535    
  0.588461697       9.06412888    
  0.621154010       9.57414627    
  0.653846323       10.0849113    
  0.686538637       10.5964289    
  0.719230950       11.1087027    
  0.751923263       11.6223946    
  0.784615636       12.1375179    
  0.817307949       12.6540871    
  0.850000262       13.1721153    
  0.882692575       13.6916170    
  0.915384889       14.2126064    
  0.948077202       14.7350969    
  0.980769515       15.2591028    
   1.01346183       15.7846375    
   1.04615414       16.3117161    
   1.07884645       16.8403511    
   1.11153877       17.3705578    
   1.14423108       17.9023476    
   1.17692339       18.4357376    
   1.20961571       18.9707394    
   1.24230802       19.5073681    
   1.27500033       20.0456371    
   1.30769265       20.5855598    
   1.34038496       21.1271515    
   1.37307727       21.6704254    
   1.40576959       22.2153950    
   1.43846190       22.7620735    
   1.47115421       23.3104763    
   1.50384653       23.8606167    
   1.53653884       24.4125099    
   1.56923127       24.9661674    
   1.60192358       25.5216045    
   1.63461590       26.0788364    
   1.66730821       26.6378746    
   1.70000052       27.1987343    
   1.73269284       27.7614288    
   1.76538515       28.3259735    
   1.79807746       28.8923798    
   1.83076978       29.4606628    
   1.86346209       30.0308380    
   1.89615440       30.6029167    
   1.92884672       31.1769142    
   1.96153903       31.7528439    
   1.99423134       32.3307190    
   2.02692366       32.9105568    
   2.05961585       33.4923668    
   2.09230828       34.0761681    
   2.12500072       34.6619682    
   2.15769291       35.2497864    
   2.19038534       35.8396339    
   2.22307754       36.4315262    
   2.25576997       37.0254745    
   2.28846216       37.6214943    
   2.32115459       38.2196007    
   2.35384679       38.8198051    
